nome,instituicao,titulacao,linhas_pesquisa,curriculo_lattes,pontuacao_PA,pontuacao_S,pontuacao_C,pontuacao_F,pontuacao_media,classificacao_PA,classificacao_S,classificacao_C,classificacao_F,fator_N1,fator_N2,classificacao_final,justificativa_classificacao,arquivo_origem,timestamp,rank,rank_categoria,PA_PA1,PA_PA2,PA_PA3,PA_PA4,S_S1,S_S2,S_S3,C_C1,C_C2,C_C3,C_C4,C_C5,F_F1,F_F2,F_F3,F_F4,N_N1,N_N2
Andrei Leitão,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor associado,"Descoberta de fármacos usando quimioinformática, química medicinal e ensaios celulares aplicados em câncer.",,0.0,3.333333333333333,0.0,0.0,0.8333333333333333,BAIXA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",FAPESP_Andrei_Leitão_20250907_130258.json,2025-09-23T14:25:05.431666,16,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Fábio Santos do Nascimento,"Universidade de São Paulo, Campus de Ribeirão Preto",Professor Associado,Zoologia (ênfase em Comportamento Animal); Ecologia comportamental; Ecologia química; Insetos sociais; Evolução do comportamento social,,0.0,3.333333333333333,0.0,0.0,0.8333333333333333,BAIXA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",FAPESP_Fábio_Santos_do_Nascimento_20250907_130258.json,2025-09-23T14:25:05.431181,15,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Marcia Maria Gentile Bitondi,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Assistente-Doutor,"Biologia do Desenvolvimento de Abelhas, genética e fisiologia endócrina da metamorfose e reprodução.",,0.0,3.333333333333333,0.0,0.0,0.8333333333333333,BAIXA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",FAPESP_Marcia_Maria_Gentile_Bitondi_20250907_130258.json,2025-09-23T14:26:35.478243,24,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Maura Helena Manfrin,Universidade de São Paulo,Professora Associada,Genética evolutiva; variação geográfica e populações naturais; filogeografia; morfologia; expressão gênica na relação inseto-planta; zonas híbridas.  Modelos biológicos principais: espécies cactófilas de Drosophila (grupo repleta) da América do Sul.,,0.0,3.333333333333333,0.0,0.0,0.8333333333333333,BAIXA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",FAPESP_Maura_Helena_Manfrin_20250907_130258.json,2025-09-23T14:26:45.482557,21,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Zilá Luz Paulino Simões,Universidade de São Paulo,Professor Assistente Doutor,Genética Animal; Biologia e Genética do Desenvolvimento de Abelhas; Análise genômica; Regulação da expressão gênica; Determinação do sexo; Castas; Comportamento; Reprodução.,,0.0,3.333333333333333,0.0,0.0,0.8333333333333333,BAIXA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",FAPESP_Zilá_Luz_Paulino_Simões_20250907_130258.json,2025-09-23T14:25:25.441914,12,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
