nome,instituicao,titulacao,linhas_pesquisa,curriculo_lattes,pontuacao_PA,pontuacao_S,pontuacao_C,pontuacao_F,pontuacao_media,classificacao_PA,classificacao_S,classificacao_C,classificacao_F,fator_N1,fator_N2,classificacao_final,justificativa_classificacao,arquivo_origem,timestamp,rank,rank_categoria,PA_PA1,PA_PA2,PA_PA3,PA_PA4,S_S1,S_S2,S_S3,C_C1,C_C2,C_C3,C_C4,C_C5,F_F1,F_F2,F_F3,F_F4,N_N1,N_N2
Ana Maria de Guzzi Plepis,Universidade de São Paulo,Professor Doutor,"Engenharia Biomédica, com ênfase em Biomateriais; colágeno, quitosana, colageno, hidróxiapatita e reologia.",,0.0,0.0,0.0,2.5,0.625,BAIXA,BAIXA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.6, poucas categorias relevantes",FAPESP_Ana_Maria_de_Guzzi_Plepis_20250907_130258.json,2025-09-23T14:20:05.805489,25,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Bianca Chieregato Maniglia,"Universidade de São Paulo (USP), Instituto de Química de São Carlos (IQSC)",Professora Doutora,"Polímeros naturais, biomateriais, impressão 3D, modificação de amido, scaffolds ósseos.",,0.0,0.0,0.0,2.5,0.625,BAIXA,BAIXA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.6, poucas categorias relevantes",FAPESP_Bianca_Chieregato_Maniglia_20250907_130258.json,2025-09-23T14:19:05.779146,28,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Daniel Junqueira Dorta,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,"Toxicologia Bioquímica, mitocôndria, morte celular, apoptose, autofagia, cultura de células e contaminantes emergentes.",,0.0,0.0,0.0,2.5,0.625,BAIXA,BAIXA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.6, poucas categorias relevantes",FAPESP_Daniel_Junqueira_Dorta_20250907_130258.json,2025-09-23T14:18:55.773138,26,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Emanuel Carrilho,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Titular,"Química, Separações Analíticas, ce, instrumentação, análises genéticas, seqüênciamento de dna e microchip.",,1.6666666666666665,3.333333333333333,0.0,2.5,1.875,BAIXA,MODERADA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.9, poucas categorias relevantes",FAPESP_Emanuel_Carrilho_20250907_130258.json,2025-09-23T14:19:55.794209,5,4,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Tiana Kohlsdorf,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,"Biologia Evolutiva; Evo-Devo e Eco-Evo-Devo; Evolução molecular, morfológica e fisiológica.",,0.0,3.333333333333333,0.0,2.5,1.4583333333333333,BAIXA,MODERADA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.5, poucas categorias relevantes",FAPESP_Tiana_Kohlsdorf_20250907_130258.json,2025-09-23T14:20:05.807175,6,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
