nome,instituicao,titulacao,linhas_pesquisa,curriculo_lattes,pontuacao_PA,pontuacao_S,pontuacao_C,pontuacao_F,pontuacao_media,classificacao_PA,classificacao_S,classificacao_C,classificacao_F,fator_N1,fator_N2,classificacao_final,justificativa_classificacao,arquivo_origem,timestamp,rank,rank_categoria,PA_PA1,PA_PA2,PA_PA3,PA_PA4,S_S1,S_S2,S_S3,C_C1,C_C2,C_C3,C_C4,C_C5,F_F1,F_F2,F_F3,F_F4,N_N1,N_N2
Andrei Leitão,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor associado,"Descoberta de fármacos usando quimioinformática, química medicinal e ensaios celulares aplicados em câncer.",,0.0,3.333333333333333,0.0,0.0,0.8333333333333333,BAIXA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",FAPESP_Andrei_Leitão_20250907_130258.json,2025-09-22T14:43:28.413955,32,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Fábio Santos do Nascimento,"Universidade de São Paulo, Campus de Ribeirão Preto",Professor Associado,Zoologia (ênfase em Comportamento Animal); Ecologia comportamental; Ecologia química; Insetos sociais; Evolução do comportamento social,,0.0,3.333333333333333,0.0,0.0,0.8333333333333333,BAIXA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",FAPESP_Fábio_Santos_do_Nascimento_20250907_130258.json,2025-09-22T14:43:28.413580,31,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamilton Brandão Varela de Albuquerque,Universidade de São Paulo (USP) - Instituto de Química de São Carlos (IQSC),Professor Doutor,"Gestão de Qualidade em Laboratórios, ISO/IEC 17025, BPL, Validação de métodos, Estimativa de incerteza, Cartas de Controle, Produção de Materiais de Referência, Ensaios de Proficiência, Acreditação de processos de amostragem na área ambiental, Cromatografia, Técnicas de Preparo de Amostras.",,1.6666666666666665,3.333333333333333,0.0,0.0,1.25,BAIXA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.2, poucas categorias relevantes",FAPESP_Hamilton_Brandão_Varela_de_Albuquerque_20250907_130258.json,2025-09-22T14:43:34.445163,16,3,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Igor Renato Bertoni Olivares,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Doutor,"Gestão de Qualidade em Laboratórios, ISO/IEC 17025, BPL, Validação de métodos, Estimativa de incerteza, Cartas de Controle, Produção de Materiais de Referência, Ensaios de Proficiência, Acreditação de processos de amostragem na área ambiental, Cromatografia, Técnicas de Preparo de Amostras.",,1.6666666666666665,3.333333333333333,0.0,0.0,1.25,BAIXA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.2, poucas categorias relevantes",FAPESP_Igor_Renato_Bertoni_Olivares_20250907_130258.json,2025-09-22T14:43:27.411698,15,4,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Marcia Maria Gentile Bitondi,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Assistente-Doutor,"Biologia do Desenvolvimento de Abelhas, genética e fisiologia endócrina da metamorfose e reprodução.",,0.0,3.333333333333333,0.0,0.0,0.8333333333333333,BAIXA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",FAPESP_Marcia_Maria_Gentile_Bitondi_20250907_130258.json,2025-09-22T14:43:46.499980,25,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Maura Helena Manfrin,Universidade de São Paulo,Professora Associada,Genética evolutiva; variação geográfica e populações naturais; filogeografia; morfologia; expressão gênica na relação inseto-planta; zonas híbridas.  Modelos biológicos principais: espécies cactófilas de Drosophila (grupo repleta) da América do Sul.,,0.0,3.333333333333333,0.0,0.0,0.8333333333333333,BAIXA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",FAPESP_Maura_Helena_Manfrin_20250907_130258.json,2025-09-22T14:43:49.509918,35,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Paulo Marcos Donate,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Associado,"Síntese orgânica, catálise, química de produtos naturais, síntese e estudos de diversos tipos de produtos com atividade biológica.",,0.0,6.666666666666666,0.0,0.0,1.6666666666666665,BAIXA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.7, poucas categorias relevantes",FAPESP_Paulo_Marcos_Donate_20250907_130258.json,2025-09-22T14:43:36.454564,5,7,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Zilá Luz Paulino Simões,Universidade de São Paulo,Professor Assistente Doutor,Genética Animal; Biologia e Genética do Desenvolvimento de Abelhas; Análise genômica; Regulação da expressão gênica; Determinação do sexo; Castas; Comportamento; Reprodução.,,0.0,3.333333333333333,0.0,0.0,0.8333333333333333,BAIXA,MODERADA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",FAPESP_Zilá_Luz_Paulino_Simões_20250907_130258.json,2025-09-22T14:43:33.438940,30,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
