nome,instituicao,titulacao,linhas_pesquisa,curriculo_lattes,pontuacao_PA,pontuacao_S,pontuacao_C,pontuacao_F,pontuacao_media,classificacao_PA,classificacao_S,classificacao_C,classificacao_F,fator_N1,fator_N2,classificacao_final,justificativa_classificacao,arquivo_origem,timestamp,rank,rank_categoria,PA_PA1,PA_PA2,PA_PA3,PA_PA4,S_S1,S_S2,S_S3,C_C1,C_C2,C_C3,C_C4,C_C5,F_F1,F_F2,F_F3,F_F4,N_N1,N_N2
Ana Maria de Guzzi Plepis,Universidade de São Paulo,Professor Doutor,"Engenharia Biomédica, com ênfase em Biomateriais; colágeno, quitosana, colageno, hidróxiapatita e reologia.",,0.0,0.0,0.0,2.5,0.625,BAIXA,BAIXA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.6, poucas categorias relevantes",FAPESP_Ana_Maria_de_Guzzi_Plepis_20250907_130258.json,2025-09-22T14:49:28.191168,36,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Antonio Eduardo Miller Crotti,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Livre-Docente,"Espectrometria de Massas, Química de Produtos Naturais e Química Orgânica.",,1.6666666666666665,0.0,0.0,2.5,1.0416666666666665,BAIXA,BAIXA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.0, poucas categorias relevantes",FAPESP_Antonio_Eduardo_Miller_Crotti_20250907_130258.json,2025-09-22T14:49:30.195272,18,2,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bianca Chieregato Maniglia,"Universidade de São Paulo (USP), Instituto de Química de São Carlos (IQSC)",Professora Doutora,"Polímeros naturais, biomateriais, impressão 3D, modificação de amido, scaffolds ósseos.",,0.0,0.0,0.0,2.5,0.625,BAIXA,BAIXA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.6, poucas categorias relevantes",FAPESP_Bianca_Chieregato_Maniglia_20250907_130258.json,2025-09-22T14:49:17.142734,39,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Emanuel Carrilho,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Titular,"Química, Separações Analíticas, ce, instrumentação, análises genéticas, seqüênciamento de dna e microchip.",,3.333333333333333,3.333333333333333,0.0,2.5,2.2916666666666665,MODERADA,MODERADA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 2.3, poucas categorias relevantes",FAPESP_Emanuel_Carrilho_20250907_130258.json,2025-09-22T14:49:26.184014,1,4,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Sérgio Akinobu Yoshioka,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Doutor,Desenvolvimento de biomateriais e bioplásticos a partir de resíduos agroindustriais; modificações químicas e físicas de proteínas e polissacarídeos; extração e purificação de proteínas enzimáticas; biodegradação de materiais; caracterização físico-química de materiais; estudo da interação células-tr,,3.333333333333333,0.0,0.0,2.5,1.4583333333333333,MODERADA,BAIXA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.5, poucas categorias relevantes",FAPESP_Sérgio_Akinobu_Yoshioka_20250907_130258.json,2025-09-22T14:49:10.129257,7,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Tiana Kohlsdorf,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,"Biologia Evolutiva; Evo-Devo e Eco-Evo-Devo; Evolução molecular, morfológica e fisiológica.",,0.0,3.333333333333333,0.0,2.5,1.4583333333333333,BAIXA,MODERADA,BAIXA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.5, poucas categorias relevantes",FAPESP_Tiana_Kohlsdorf_20250907_130258.json,2025-09-22T14:49:29.193520,9,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
